State,Code,Population Estimate,"Sex (Female persons, percent)",Race (White Alone),Race (Black Alone),Race (Asian Alone),Veterans,Owner-occupied housing unit rate,Median value of owner-occupied housing units,Median gross rent,Persons per household,Living in same house 1 year ago,Households with a computer,Households with a broadband internet subscription,"High school graduate or higher, percent above 25 years","Bachelors degree or higher, percent above 25 years","With a disability, percent under 25 years","Without health insurance, percent under 25 years","In civilian labour force, total, percent above 16 years","In civilian labour force, female, percent above 16 years",Total accomodation and food services sales ($1000) 2012,Total health care and social assistance revenue ($1000) 2012,Total manufacturers shipments ($1000) 2012,Mean time to travel to work (minutes),Median household income,Per capita income,"Persons in poverty, percent",Total employer establishments,Total employment,Total annual payroll ($1000),Men-owned firms,Women-owned firms,Minority-owned firms,Nonminority-owned firms,Land area in square miles,Total all classes arrests,Violent crime arrests,Property crime arrests,Murder and nonnegligent manslaughter arrests,Rape arrests,Robbery arrests,Aggravated assault arrests,Burglary arrests,Larceny- theft arrests,Motor vehicle theft arrests,Arson arrests,Other assaults arrests,Forgery and counterfeiting arrests,Fraud arrests,Embezzlement arrests,Stolen property arrests,Vandalism arrests,Weapons arrests,Prostitution arrests,Sex offenses (except rape and prostitution) arrests,Drug  abuse violations arrests,Gambling arrests,Offenses against the family and children arrests,Driving under the influence arrests,Liquor laws arrests,Drunkenness arrests,Disorderly conduct arrests,Vagrancy arrests,All other offenses (except traffic) arrests,Suspicion arrests,Curfew and loitering law violations arrests,Electoral Result,Drug abuse violations arrests
Alabama,AL,5039877,51.7,69.1,26.8,1.5,324857,69.2,149600,811,2.53,86.8,87.9,79.9,86.9,26.2,11.5,11.7,57.2,52.5,7576462,26039632,124809759,25.2,52035,28934,14.9,100731,1758609,79548202,203604,137630,92219,272651,50645.33,"1,831",29,522,4,0,14,11,13,502,5,2,191,19,8,6,33,17,43,0,0,378,0.0,3,36,1,49,24,0,472,0.0,0,R,378
Alaska,AK,732673,47.9,65.3,3.7,6.5,64765,64.8,275600,1240,2.78,82.7,95.0,87.3,93.1,30.0,8.9,13.9,64.2,62.7,2221335,6375483,D,18.9,77790,37094,9.6,21399,264971,16571790,35402,22141,13688,51147,570640.95,"27,602","2,559","3,006",46,126,310,"2,077",606,"1,878",473,49,"4,853",78,121,43,93,"1,161",258,5,242,930,0.0,150,"2,855",305,31,740,2,"10,170",0.0,0,R,930
Arizona,AZ,7276316,50.3,82.6,5.2,3.7,491239,65.3,242000,1097,2.65,83.0,93.3,86.6,87.9,30.3,8.9,13.6,59.7,55.1,13996635,37055881,51243473,25.8,61529,32340,12.8,147163,2614641,129707807,245243,182425,135313,344981,113594.08,"235,594","11,325","29,328",294,267,"1,797","8,967","3,536","24,164","1,456",172,"23,655",772,"1,959",424,896,"9,185","2,884",242,"1,239","28,254",1.0,"2,501","18,041","5,950","11,317","13,658",421,"73,083",28.0,431,D,"28,254"
Arkansas,AR,3025891,50.9,79.0,15.7,1.7,191786,65.8,133600,760,2.50,85.4,88.2,77.0,87.2,23.8,12.9,10.9,57.8,53.9,4307264,15792628,62712925,21.8,49475,27724,15.2,67243,1053453,46259546,123158,75962,35982,189029,52035.48,"117,237","5,050","13,433",166,289,475,"4,120","1,896","10,889",585,63,"11,609",837,839,52,"1,715","1,804","1,035",83,74,"17,844",24.0,324,"6,108","1,221","5,604","2,574",320,"46,450",0.0,237,R,"17,844"
California,CA,39237836,50.3,71.9,6.5,15.5,1525746,55.3,538500,1586,2.94,87.6,94.3,88.9,83.9,34.7,6.8,8.9,63.3,57.7,90830372,248953592,512303164,29.8,78672,38576,11.5,966224,15516824,1077175621,1852580,1320085,1619857,1819107,155779.22,"1,014,785","102,427","88,854","1,284","2,155","15,404","83,584","32,859","39,588","14,870","1,537","77,849","3,721","6,703",972,"14,777","16,462","26,673","5,751","8,560","212,417",562.0,278,"120,262","5,363","53,788","3,218","4,688","260,749",0.0,711,D,"212,417"
Colorado,CO,5812069,49.6,86.9,4.6,3.5,370677,66.2,369900,1335,2.60,82.4,94.9,89.6,92.1,41.6,7.4,9.3,67.4,62.7,13617654,29488161,50447098,25.8,75231,39545,9.0,174258,2473192,142461322,284554,194508,85849,442365,103641.89,"195,870","8,058","25,261",152,532,"1,148","6,226","2,518","19,662","2,883",198,"16,700",722,"2,771",69,487,"5,084","2,414",354,463,"15,846",13.0,"2,145","19,658","5,863",378,"5,966",465,"82,648",0.0,505,D,"15,846"
Connecticut,CT,3605597,51.2,79.7,12.2,5.0,160142,66.1,279700,1201,2.50,88.3,92.0,87.3,90.9,40.0,7.6,7.0,65.7,61.7,9542068,29573119,55160095,26.7,79855,45668,9.7,88916,1538341,100304531,187845,106678,56113,259614,4842.36,"92,925","3,060","11,932",83,223,764,"1,990","1,470","9,754",646,62,"16,304",475,858,134,350,"1,711","1,073",120,330,"7,295",11.0,"1,502","7,577",86,11,"10,560",44,"29,483",0.0,9,D,"7,295"
Delaware,DE,1003384,51.7,69.2,23.2,4.1,65065,71.4,258300,1150,2.54,88.0,93.1,87.4,90.6,32.7,9.3,8.1,61.6,58.1,2148437,7003251,22597384,26.2,69110,36574,10.9,26142,413410,23948185,38328,23964,14440,54782,1948.54,"30,038","1,898","5,422",20,75,383,"1,420",745,"4,461",192,24,"6,400",219,"1,312",162,365,849,325,82,101,"3,815",20.0,157,452,539,356,"1,138",229,"6,157",0.0,40,D,"3,815"
District Of Columbia,DC,670050,52.6,46.0,46.0,4.5,25514,42.5,618100,1607,2.30,80.7,93.0,85.6,91.9,59.8,8.2,3.9,70.2,68.9,5101602,8963981,309832,30.9,90842,58659,15.0,23993,528826,44757660,30237,27064,29983,29521,61.05,"12,963",296,128,0,2,221,73,0,127,1,0,622,2,2,0,41,46,62,0,22,799,0.0,1,7,"1,385",49,409,4,"9,088",0.0,0,D,799
Florida,FL,21781128,51.1,77.3,16.9,3.0,1416472,66.2,232000,1218,2.62,84.9,93.1,85.4,88.5,30.5,8.7,16.3,58.6,54.4,49817925,124061425,96924106,27.9,57703,32848,12.4,574512,8860042,426908310,1084885,807817,926112,1121749,53624.76,"679,072","33,860","85,675",787,"1,765","6,006","25,302","13,560","64,087","7,776",252,"80,785","1,808","11,226","1,047","1,512","5,956","6,551","2,049","3,209","110,145",107.0,10,"33,872","10,774",32,43,0,"290,411",0.0,0,R,"110,145"
