ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,APPLICANT_AGE,YEARS_WORKING,TOTAL_GOOD_DEBT,TOTAL_BAD_DEBT,STATUS,GOOD_PERCENT
5008806,M,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,2.0,59.0,3.0,30,0,1,1.0
5008808,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Sales staff,1.0,52.0,8.0,5,0,1,1.0
5008809,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Sales staff,1.0,52.0,8.0,5,0,1,1.0
5008810,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Sales staff,1.0,52.0,8.0,27,0,1,1.0
5008811,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Sales staff,1.0,52.0,8.0,39,0,1,1.0
5008815,M,1,1,0,270000.0,Working,Higher education,Married,House / apartment,1,1,1,1,Accountants,2.0,46.0,2.0,6,0,1,1.0
5112956,M,1,1,0,270000.0,Working,Higher education,Married,House / apartment,1,1,1,1,Accountants,2.0,46.0,2.0,43,0,1,1.0
5008819,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,3.0,8,0,1,1.0
5008820,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,3.0,9,0,1,1.0
5008821,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,3.0,9,0,1,1.0
5008822,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,3.0,9,0,1,1.0
5008823,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,3.0,5,0,1,1.0
5008824,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,3.0,4,0,1,1.0
5008825,F,1,0,0,130500.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Accountants,2.0,29.0,3.0,25,1,1,0.9615384615384616
5008826,F,1,0,0,130500.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Accountants,2.0,29.0,3.0,23,7,1,0.7666666666666667
5008830,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2.0,27.0,4.0,30,2,1,0.9375
5008831,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2.0,27.0,4.0,18,2,1,0.9
5008832,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2.0,27.0,4.0,33,2,1,0.9428571428571428
