country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)",Country,Crude suicide rates (per 100 000 population) (Both sexes)
Afghanistan,SouthernAsia,652864.0,35530.0,54.4,106.3,20270.0,-2.4,623.2,23.3,23.3,53.3,61.6,10.0,28.5,8.6,125.0,125.0,1458.0,3568.0,-2110.0,-5121.0,3.2,26.7,4.0,5.3,1513.1,68.6,8.2,0.3,3.3,27.7,61.6,8.3,42.0,2.1,63.0,5.0,21.43,Afghanistan,4.1
Albania,SouthernEurope,28748.0,2930.0,106.9,101.9,11541.0,2.6,3984.2,22.4,26.0,51.7,41.4,18.3,40.3,15.8,134.0,134.0,1962.0,4669.0,-2707.0,-1222.0,-0.1,57.4,2.2,1.7,8.8,14.6,5.9,1.3,3.5,22.9,106.4,63.3,130.0,28.2,84.0,36.0,2.96,Albania,4.3
Algeria,NorthernAfrica,2381741.0,41318.0,17.3,102.0,164779.0,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160.0,161.0,29992.0,47091.0,-17099.0,-27229.0,2.0,70.7,2.8,3.0,99.8,27.7,7.2,,,31.6,113.0,38.2,135.0,0.8,5900.0,55.0,0.05,Algeria,2.5
Angola,MiddleAfrica,1246700.0,29784.0,23.9,96.2,117955.0,3.0,4714.1,6.8,51.2,42.0,4.2,37.6,58.2,6.6,175.0,176.0,21011.0,8790.0,12221.0,-10273.0,3.5,44.1,5.0,6.0,45.7,65.4,3.3,,,38.2,60.8,12.4,146.0,46.5,3902.0,25.0,0.42,Angola,6.1
Antigua and Barbuda,Caribbean,442.0,102.0,231.8,92.3,1356.0,4.1,14764.5,1.9,18.3,79.8,,,,,88.0,88.0,61.0,491.0,-429.0,-204.0,1.1,23.8,-0.9,2.1,0.0,9.1,5.5,,,11.1,137.2,65.2,55.0,22.3,,84.0,0.12,Antigua and Barbuda,0.4
Argentina,SouthAmerica,2780400.0,44271.0,16.2,95.9,632343.0,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,119.0,119.0,57733.0,55610.0,2124.0,-15944.0,1.0,91.8,1.0,2.3,5.0,13.7,4.8,3.8,5.3,38.9,143.9,69.4,256.0,10.0,3167.0,85.0,0.01,Argentina,8.4
Armenia,WesternAsia,29743.0,2930.0,102.9,88.8,10529.0,3.0,3489.1,19.0,28.3,52.8,35.0,15.7,49.3,16.6,135.0,135.0,1776.0,3230.0,-1455.0,-279.0,0.3,62.7,-0.1,1.6,19.3,13.2,4.5,2.8,2.8,9.9,115.2,58.2,114.0,11.7,48.0,46.0,3.17,Armenia,3.3
Australia,Oceania,7692060.0,24451.0,3.2,99.3,1230859.0,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111.0,111.0,189630.0,189406.0,224.0,-57746.0,1.5,89.4,1.5,1.9,58.2,3.9,9.4,3.4,5.2,28.7,132.8,84.6,948.0,16.2,15282.0,222.0,,Australia,12.5
Austria,WesternEurope,83871.0,8736.0,106.0,96.2,376967.0,1.0,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108.0,108.0,145503.0,149299.0,-3795.0,7020.0,0.6,66.0,0.4,1.4,166.4,3.3,11.2,5.2,5.5,30.6,157.4,83.9,118.0,46.9,505.0,158.0,,Austria,14.6
Azerbaijan,WesternAsia,86600.0,9828.0,118.9,99.3,53049.0,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131.0,136.0,9143.0,8532.0,611.0,-222.0,1.3,54.6,1.6,2.1,623.3,31.4,6.0,3.4,2.6,16.8,111.3,77.0,97.0,13.5,2459.0,61.0,0.14,Azerbaijan,4.1
Bahamas,Caribbean,13940.0,395.0,39.5,95.9,8854.0,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,132.0,132.0,365.0,2904.0,-2539.0,-1409.0,1.4,82.9,1.5,1.8,0.1,9.1,7.7,,,13.2,80.3,78.0,86.0,51.4,0.0,90.0,,Bahamas,3.5
Bahrain,WesternAsia,771.0,1493.0,1963.9,168.3,31126.0,2.9,22600.2,0.3,40.7,59.0,1.0,33.4,65.6,1.3,167.0,167.0,12892.0,14749.0,-1856.0,1124.0,2.0,88.8,1.7,2.1,0.4,6.9,5.0,0.9,2.7,7.5,185.3,93.5,36.0,0.8,961.0,413.0,,Bahrain,8.9
Bangladesh,SouthernAsia,147570.0,164670.0,1265.0,101.7,194466.0,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4.0,141.0,140.0,36031.0,52624.0,-16593.0,2687.0,1.2,34.3,3.6,2.2,233.0,33.3,2.8,0.4,1.9,20.3,83.4,14.4,151.0,11.0,1438.0,11.0,1.24,Bangladesh,3.7
Barbados,Caribbean,431.0,286.0,664.5,91.9,4385.0,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,88.0,88.0,517.0,1621.0,-1104.0,-248.0,0.3,31.5,0.1,1.8,0.0,9.6,7.5,,6.6,16.7,116.5,76.1,56.0,14.7,2.0,59.0,,Barbados,0.6
Belarus,EasternEurope,207600.0,9468.0,46.7,87.0,54609.0,-3.9,5750.8,7.5,38.9,53.6,9.6,32.0,58.4,0.5,122.0,122.0,23414.0,27464.0,-4050.0,-2037.0,0.0,76.7,0.0,1.6,7.9,3.6,5.7,4.1,4.9,34.5,123.6,62.2,25.0,42.5,155.0,122.0,0.2,Belarus,21.2
Belgium,WesternEurope,30528.0,11429.0,377.5,97.3,455107.0,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108.0,107.0,398033.0,372713.0,25321.0,1936.0,0.6,97.9,0.5,1.8,63.8,3.5,10.6,3.0,6.6,38.0,115.7,85.1,37.0,22.6,520.0,196.0,,Belgium,18.3
Belize,CentralAmerica,22966.0,375.0,16.4,99.2,1721.0,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97.0,97.0,246.0,952.0,-706.0,-175.0,2.2,44.0,1.9,2.6,3.1,14.3,5.8,,6.4,9.4,48.9,41.6,117.0,60.1,9.0,36.0,1.68,Belize,7.1
