,country,year,sex,age,suicides/100k pop,HDI for year,gdp_per_capita,generation,Region,Assigned To Zone
0,Argentina,1985,male,75+ years,55,0.6940000000000001,3264,G.I. Generation,South/Latin America,II
1,Argentina,1985,male,55-74 years,24,0.6940000000000001,3264,G.I. Generation,South/Latin America,II
2,Argentina,1985,male,35-54 years,12,0.6940000000000001,3264,Silent,South/Latin America,II
3,Argentina,1985,female,55-74 years,9,0.6940000000000001,3264,G.I. Generation,South/Latin America,II
4,Argentina,1985,male,25-34 years,7,0.6940000000000001,3264,Boomers,South/Latin America,II
5,Argentina,1985,female,75+ years,7,0.6940000000000001,3264,G.I. Generation,South/Latin America,II
6,Argentina,1985,male,15-24 years,6,0.6940000000000001,3264,Generation X,South/Latin America,II
7,Argentina,1985,female,35-54 years,4,0.6940000000000001,3264,Silent,South/Latin America,II
8,Argentina,1985,female,25-34 years,2,0.6940000000000001,3264,Boomers,South/Latin America,II
9,Argentina,1985,female,15-24 years,2,0.6940000000000001,3264,Generation X,South/Latin America,II
10,Argentina,1985,male,5-14 years,0,0.6940000000000001,3264,Generation X,South/Latin America,II
11,Argentina,1985,female,5-14 years,0,0.6940000000000001,3264,Generation X,South/Latin America,II
12,Argentina,1990,male,75+ years,54,0.705,4859,G.I. Generation,South/Latin America,II
13,Argentina,1990,male,55-74 years,23,0.705,4859,G.I. Generation,South/Latin America,II
14,Argentina,1990,male,35-54 years,12,0.705,4859,Silent,South/Latin America,II
15,Argentina,1990,female,75+ years,9,0.705,4859,G.I. Generation,South/Latin America,II
16,Argentina,1990,male,25-34 years,7,0.705,4859,Boomers,South/Latin America,II
17,Argentina,1990,female,55-74 years,7,0.705,4859,G.I. Generation,South/Latin America,II
18,Argentina,1990,male,15-24 years,6,0.705,4859,Generation X,South/Latin America,II
19,Argentina,1990,female,35-54 years,4,0.705,4859,Silent,South/Latin America,II
20,Argentina,1990,female,15-24 years,3,0.705,4859,Generation X,South/Latin America,II
21,Argentina,1990,female,25-34 years,3,0.705,4859,Boomers,South/Latin America,II
22,Argentina,1990,male,5-14 years,0,0.705,4859,Generation X,South/Latin America,II
23,Argentina,1990,female,5-14 years,0,0.705,4859,Generation X,South/Latin America,II
24,Argentina,1995,male,75+ years,43,0.731,8232,G.I. Generation,South/Latin America,II
25,Argentina,1995,male,55-74 years,23,0.731,8232,Silent,South/Latin America,II
26,Argentina,1995,male,35-54 years,12,0.731,8232,Boomers,South/Latin America,II
27,Argentina,1995,male,25-34 years,9,0.731,8232,Generation X,South/Latin America,II
28,Argentina,1995,male,15-24 years,8,0.731,8232,Generation X,South/Latin America,II
29,Argentina,1995,female,75+ years,6,0.731,8232,G.I. Generation,South/Latin America,II
30,Argentina,1995,female,55-74 years,5,0.731,8232,Silent,South/Latin America,II
31,Argentina,1995,female,35-54 years,3,0.731,8232,Boomers,South/Latin America,II
32,Argentina,1995,female,15-24 years,3,0.731,8232,Generation X,South/Latin America,II
33,Argentina,1995,female,25-34 years,2,0.731,8232,Generation X,South/Latin America,II
34,Argentina,1995,female,5-14 years,0,0.731,8232,Millenials,South/Latin America,II
35,Argentina,1995,male,5-14 years,0,0.731,8232,Millenials,South/Latin America,II
36,Argentina,2000,male,75+ years,44,0.762,8462,G.I. Generation,South/Latin America,II
37,Argentina,2000,male,55-74 years,25,0.762,8462,Silent,South/Latin America,II
38,Argentina,2000,male,35-54 years,14,0.762,8462,Boomers,South/Latin America,II
39,Argentina,2000,male,15-24 years,14,0.762,8462,Generation X,South/Latin America,II
40,Argentina,2000,male,25-34 years,12,0.762,8462,Generation X,South/Latin America,II
41,Argentina,2000,female,55-74 years,4,0.762,8462,Silent,South/Latin America,II
42,Argentina,2000,female,75+ years,4,0.762,8462,G.I. Generation,South/Latin America,II
43,Argentina,2000,female,35-54 years,4,0.762,8462,Boomers,South/Latin America,II
44,Argentina,2000,female,15-24 years,3,0.762,8462,Generation X,South/Latin America,II
45,Argentina,2000,female,25-34 years,2,0.762,8462,Generation X,South/Latin America,II
46,Argentina,2000,female,5-14 years,0,0.762,8462,Millenials,South/Latin America,II
47,Argentina,2000,male,5-14 years,0,0.762,8462,Millenials,South/Latin America,II
48,Argentina,2005,male,75+ years,37,0.775,5590,Silent,South/Latin America,II
49,Argentina,2005,male,55-74 years,19,0.775,5590,Silent,South/Latin America,II
50,Argentina,2005,male,15-24 years,19,0.775,5590,Millenials,South/Latin America,II
51,Argentina,2005,male,25-34 years,15,0.775,5590,Generation X,South/Latin America,II
52,Argentina,2005,male,35-54 years,12,0.775,5590,Boomers,South/Latin America,II
53,Argentina,2005,female,55-74 years,5,0.775,5590,Silent,South/Latin America,II
54,Argentina,2005,female,75+ years,5,0.775,5590,Silent,South/Latin America,II
55,Argentina,2005,female,15-24 years,4,0.775,5590,Millenials,South/Latin America,II
56,Argentina,2005,female,35-54 years,3,0.775,5590,Boomers,South/Latin America,II
57,Argentina,2005,female,25-34 years,3,0.775,5590,Generation X,South/Latin America,II
58,Argentina,2005,male,5-14 years,1,0.775,5590,Millenials,South/Latin America,II
59,Argentina,2005,female,5-14 years,0,0.775,5590,Millenials,South/Latin America,II
60,Argentina,2010,male,75+ years,31,0.8109999999999999,11273,Silent,South/Latin America,II
61,Argentina,2010,male,15-24 years,19,0.8109999999999999,11273,Millenials,South/Latin America,II
62,Argentina,2010,male,25-34 years,14,0.8109999999999999,11273,Generation X,South/Latin America,II
63,Argentina,2010,male,55-74 years,14,0.8109999999999999,11273,Silent,South/Latin America,II
64,Argentina,2010,male,35-54 years,12,0.8109999999999999,11273,Generation X,South/Latin America,II
65,Argentina,2010,female,15-24 years,4,0.8109999999999999,11273,Millenials,South/Latin America,II
66,Argentina,2010,female,35-54 years,3,0.8109999999999999,11273,Generation X,South/Latin America,II
67,Argentina,2010,female,25-34 years,3,0.8109999999999999,11273,Generation X,South/Latin America,II
68,Argentina,2010,female,55-74 years,3,0.8109999999999999,11273,Silent,South/Latin America,II
69,Argentina,2010,female,75+ years,2,0.8109999999999999,11273,Silent,South/Latin America,II
70,Argentina,2010,male,5-14 years,0,0.8109999999999999,11273,Generation Z,South/Latin America,II
71,Argentina,2010,female,5-14 years,0,0.8109999999999999,11273,Generation Z,South/Latin America,II
72,Argentina,2011,male,75+ years,26,0.818,13946,Silent,South/Latin America,II
73,Argentina,2011,male,15-24 years,19,0.818,13946,Millenials,South/Latin America,II
74,Argentina,2011,male,25-34 years,15,0.818,13946,Millenials,South/Latin America,II
75,Argentina,2011,male,55-74 years,14,0.818,13946,Boomers,South/Latin America,II
76,Argentina,2011,male,35-54 years,10,0.818,13946,Generation X,South/Latin America,II
77,Argentina,2011,female,15-24 years,5,0.818,13946,Millenials,South/Latin America,II
78,Argentina,2011,female,35-54 years,3,0.818,13946,Generation X,South/Latin America,II
79,Argentina,2011,female,25-34 years,3,0.818,13946,Millenials,South/Latin America,II
80,Argentina,2011,female,55-74 years,2,0.818,13946,Boomers,South/Latin America,II
81,Argentina,2011,female,75+ years,2,0.818,13946,Silent,South/Latin America,II
82,Argentina,2011,female,5-14 years,0,0.818,13946,Generation Z,South/Latin America,II
83,Argentina,2011,male,5-14 years,0,0.818,13946,Generation Z,South/Latin America,II
84,Argentina,2012,male,75+ years,32,0.831,14203,Silent,South/Latin America,II
85,Argentina,2012,male,15-24 years,21,0.831,14203,Millenials,South/Latin America,II
86,Argentina,2012,male,25-34 years,18,0.831,14203,Millenials,South/Latin America,II
87,Argentina,2012,male,55-74 years,15,0.831,14203,Boomers,South/Latin America,II
88,Argentina,2012,male,35-54 years,11,0.831,14203,Generation X,South/Latin America,II
89,Argentina,2012,female,15-24 years,6,0.831,14203,Millenials,South/Latin America,II
90,Argentina,2012,female,35-54 years,3,0.831,14203,Generation X,South/Latin America,II
91,Argentina,2012,female,55-74 years,3,0.831,14203,Boomers,South/Latin America,II
92,Argentina,2012,female,25-34 years,3,0.831,14203,Millenials,South/Latin America,II
93,Argentina,2012,female,75+ years,2,0.831,14203,Silent,South/Latin America,II
94,Argentina,2012,male,5-14 years,0,0.831,14203,Generation Z,South/Latin America,II
95,Argentina,2012,female,5-14 years,0,0.831,14203,Generation Z,South/Latin America,II
96,Argentina,2013,male,75+ years,24,0.833,14206,Silent,South/Latin America,II
97,Argentina,2013,male,15-24 years,19,0.833,14206,Millenials,South/Latin America,II
98,Argentina,2013,male,25-34 years,15,0.833,14206,Millenials,South/Latin America,II
99,Argentina,2013,male,55-74 years,13,0.833,14206,Boomers,South/Latin America,II
100,Argentina,2013,male,35-54 years,12,0.833,14206,Generation X,South/Latin America,II
101,Argentina,2013,female,15-24 years,4,0.833,14206,Millenials,South/Latin America,II
102,Argentina,2013,female,25-34 years,3,0.833,14206,Millenials,South/Latin America,II
103,Argentina,2013,female,35-54 years,3,0.833,14206,Generation X,South/Latin America,II
104,Argentina,2013,female,55-74 years,3,0.833,14206,Boomers,South/Latin America,II
105,Argentina,2013,female,75+ years,2,0.833,14206,Silent,South/Latin America,II
106,Argentina,2013,female,5-14 years,0,0.833,14206,Generation Z,South/Latin America,II
107,Argentina,2013,male,5-14 years,0,0.833,14206,Generation Z,South/Latin America,II
108,Argentina,2014,male,75+ years,27,0.836,13400,Silent,South/Latin America,II
109,Argentina,2014,male,15-24 years,21,0.836,13400,Millenials,South/Latin America,II
